Day,Top_Term,rank
2024-01-03,Memur zammı,1
2024-01-03,Real Madrid,2
2024-01-03,Giovanni van Bronckhorst,3
2024-01-02,15 TATİL NE ZAMAN,1
2024-01-02,Sigaraya zam sigara fiyatları,2
2024-01-02,Japonya deprem,3
2024-01-01,Milli Piyango sonuçları,1
2024-01-01,Yeni yılın ilk günü,2
2024-01-01,Ebru Gündeş,3
2024-01-04,Emekli maaşı,1
2024-01-04,Real Madrid,2
2024-01-04,Panathinaikos,3
2024-01-03,Memur zammı,1
2024-01-03,Real Madrid,2
2024-01-03,Giovanni van Bronckhorst,3
2024-01-04,Emekli maaşı,1
2024-01-04,Real Madrid,2
2024-01-04,Panathinaikos,3
2024-01-04,Emekli maaşı,1
2024-01-04,Real Madrid,2
2024-01-04,Panathinaikos,3
